Assembly Accession	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Isolate	Organism Infraspecific Names Ecotype	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submission Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly BioProject Lineage Accession	Assembly BioSample Accession
GCA_910591885.2	Bombus terrestris							392962041	Chromosome	2022-02-09	CAJUYY02	6780370	14593050	PRJNA533106	SAMEA7520487
GCA_910592195.2	Bombus terrestris							320664292	Contig	2022-02-09	CAJUYZ02	2173302		PRJEB45695	SAMEA7520487
GCA_910592195.2	Bombus terrestris							320664292	Contig	2022-02-09	CAJUYZ02	2173302		PRJEB45205	SAMEA7520487
GCA_910592195.2	Bombus terrestris							320664292	Contig	2022-02-09	CAJUYZ02	2173302		PRJEB40665	SAMEA7520487
GCA_910592195.2	Bombus terrestris							320664292	Contig	2022-02-09	CAJUYZ02	2173302		PRJNA533106	SAMEA7520487
GCA_910592195.2	Bombus terrestris							320664292	Contig	2022-02-09	CAJUYZ02	2173302		PRJEB43510	SAMEA7520487
GCA_910592195.2	Bombus terrestris							320664292	Contig	2022-02-09	CAJUYZ02	2173302		PRJNA533106	SAMEA7520487
GCA_014825825.1	Bombus turneri				SC7729			243111512	Chromosome	2020-10-02	JACXIJ01	442685	9696427	PRJNA659133	SAMN15897729
GCF_011952275.1	Bombus vancouverensis nearcticus				JDL1245		NCBI Annotation Release 100	282133710	Scaffold	2020-04-03	JAAQRE01	3064919	3064919	PRJNA611633	SAMN14341632
GCA_011952275.1	Bombus vancouverensis nearcticus				JDL1245			282133710	Scaffold	2020-04-03	JAAQRE01	3064919	3064919	PRJNA611633	SAMN14341632
GCF_011952255.1	Bombus vosnesenskii				JDL3184/JDL3185		NCBI Annotation Release 100	275577952	Scaffold	2020-04-03	JAAQVK01	2733020	2833310	PRJNA611634	SAMN14404301
GCA_011952255.1	Bombus vosnesenskii				JDL3184/JDL3185			275577952	Scaffold	2020-04-03	JAAQVK01	2733020	2833310	PRJNA611634	SAMN14404301
GCA_014737395.1	Bombus waltoni				SC7747			231149577	Scaffold	2020-09-24	JACXII01	1152409	4657886	PRJNA659133	SAMN15897747
GCA_004307685.1	Ceratina australensis				SR-2018			219302412	Scaffold	2019-02-27	SHCU01	12363	145751	PRJNA302037	SAMN07634805
GCF_001652005.1	Ceratina calcarata				Rehan_Ccalc_2016		NCBI Annotation Release 101	199936949	Scaffold	2016-05-25	LSNX01	23399	632424	PRJNA299559	SAMN04252592
GCA_001652005.1	Ceratina calcarata				Rehan_Ccalc_2016			199936949	Scaffold	2016-05-25	LSNX01	23399	632424	PRJNA299559	SAMN04252592
GCA_019453355.1	Ceratina japonica				SR-2019			279946819	Scaffold	2021-08-05	SMSR01	22533	50778	PRJNA526231	SAMN11091063
GCA_910591515.1	Cerceris rybyensis							418076835	Chromosome	2021-07-07	CAJUXP01	15223619	26175038	PRJEB45455	SAMEA7701329
GCA_910591515.1	Cerceris rybyensis							418076835	Chromosome	2021-07-07	CAJUXP01	15223619	26175038	PRJEB45199	SAMEA7701329
GCA_910591515.1	Cerceris rybyensis							418076835	Chromosome	2021-07-07	CAJUXP01	15223619	26175038	PRJEB40665	SAMEA7701329
GCA_910591515.1	Cerceris rybyensis							418076835	Chromosome	2021-07-07	CAJUXP01	15223619	26175038	PRJNA533106	SAMEA7701329
GCA_910591515.1	Cerceris rybyensis							418076835	Chromosome	2021-07-07	CAJUXP01	15223619	26175038	PRJEB43510	SAMEA7701329
GCA_910591515.1	Cerceris rybyensis							418076835	Chromosome	2021-07-07	CAJUXP01	15223619	26175038	PRJNA533106	SAMEA7701329
GCA_910591445.2	Cerceris rybyensis							389234124	Scaffold	2022-01-24	CAJUXO02	812085	812085	PRJEB45454	SAMEA7701329
GCA_910591445.2	Cerceris rybyensis							389234124	Scaffold	2022-01-24	CAJUXO02	812085	812085	PRJEB45199	SAMEA7701329
GCA_910591445.2	Cerceris rybyensis							389234124	Scaffold	2022-01-24	CAJUXO02	812085	812085	PRJEB40665	SAMEA7701329
GCA_910591445.2	Cerceris rybyensis							389234124	Scaffold	2022-01-24	CAJUXO02	812085	812085	PRJNA533106	SAMEA7701329
GCA_910591445.2	Cerceris rybyensis							389234124	Scaffold	2022-01-24	CAJUXO02	812085	812085	PRJEB43510	SAMEA7701329
GCA_910591445.2	Cerceris rybyensis							389234124	Scaffold	2022-01-24	CAJUXO02	812085	812085	PRJNA533106	SAMEA7701329
GCF_013123115.1	Colletes gigas				AHSC1104		NCBI Annotation Release 100	273056604	Scaffold	2020-05-19	WUUM01	6455398	8108830	PRJNA597580	SAMN13678811
GCA_013123115.1	Colletes gigas				AHSC1104			273056604	Scaffold	2020-05-19	WUUM01	6455398	8108830	PRJNA597580	SAMN13678811
GCA_019453375.1	Ctenoplectra terminalis				SR-2019			410320436	Scaffold	2021-08-05	SMSQ01	22447	52397	PRJNA526224	SAMN11090387
GCF_001272555.1	Dufourea novaeangliae				0120121106		NCBI Annotation Release 100	279505983	Scaffold	2015-08-21	LGHO01	191865	2549405	PRJNA279825	SAMN03837760
GCA_001272555.1	Dufourea novaeangliae				0120121106		Annotation submitted by BGI	279505983	Scaffold	2015-08-21	LGHO01	191865	2549405	PRJNA279825	SAMN03837760
GCA_910591665.1	Ectemnius continuus							260337310	Chromosome	2021-07-07	CAJUYD01	12091100	15408693	PRJEB45456	SAMEA7520490
GCA_910591665.1	Ectemnius continuus							260337310	Chromosome	2021-07-07	CAJUYD01	12091100	15408693	PRJEB45183	SAMEA7520490
GCA_910591665.1	Ectemnius continuus							260337310	Chromosome	2021-07-07	CAJUYD01	12091100	15408693	PRJEB40665	SAMEA7520490
GCA_910591665.1	Ectemnius continuus							260337310	Chromosome	2021-07-07	CAJUYD01	12091100	15408693	PRJNA533106	SAMEA7520490
GCA_910591665.1	Ectemnius continuus							260337310	Chromosome	2021-07-07	CAJUYD01	12091100	15408693	PRJEB43510	SAMEA7520490
GCA_910591665.1	Ectemnius continuus							260337310	Chromosome	2021-07-07	CAJUYD01	12091100	15408693	PRJNA533106	SAMEA7520490
GCA_910591485.1	Ectemnius continuus							234892221	Contig	2021-07-07	CAJUXN01	3126130		PRJEB45457	SAMEA7520490
GCA_910591485.1	Ectemnius continuus							234892221	Contig	2021-07-07	CAJUXN01	3126130		PRJEB45183	SAMEA7520490
GCA_910591485.1	Ectemnius continuus							234892221	Contig	2021-07-07	CAJUXN01	3126130		PRJEB40665	SAMEA7520490
GCA_910591485.1	Ectemnius continuus							234892221	Contig	2021-07-07	CAJUXN01	3126130		PRJNA533106	SAMEA7520490
GCA_910591485.1	Ectemnius continuus							234892221	Contig	2021-07-07	CAJUXN01	3126130		PRJEB43510	SAMEA7520490
GCA_910591485.1	Ectemnius continuus							234892221	Contig	2021-07-07	CAJUXN01	3126130		PRJNA533106	SAMEA7520490
GCA_910593735.2	Ectemnius lituratus							235140587	Chromosome	2022-02-09	CAJVAQ02	1594160	16908772	PRJEB45835	SAMEA7520491
GCA_910593735.2	Ectemnius lituratus							235140587	Chromosome	2022-02-09	CAJVAQ02	1594160	16908772	PRJEB45182	SAMEA7520491
GCA_910593735.2	Ectemnius lituratus							235140587	Chromosome	2022-02-09	CAJVAQ02	1594160	16908772	PRJEB40665	SAMEA7520491
GCA_910593735.2	Ectemnius lituratus							235140587	Chromosome	2022-02-09	CAJVAQ02	1594160	16908772	PRJNA533106	SAMEA7520491
GCA_910593735.2	Ectemnius lituratus							235140587	Chromosome	2022-02-09	CAJVAQ02	1594160	16908772	PRJEB43510	SAMEA7520491
GCA_910593735.2	Ectemnius lituratus							235140587	Chromosome	2022-02-09	CAJVAQ02	1594160	16908772	PRJNA533106	SAMEA7520491
GCA_910593685.1	Ectemnius lituratus							8375962	Contig	2021-07-07	CAJVAM01	2664089		PRJEB45836	SAMEA7520491
GCA_910593685.1	Ectemnius lituratus							8375962	Contig	2021-07-07	CAJVAM01	2664089		PRJEB45182	SAMEA7520491
GCA_910593685.1	Ectemnius lituratus							8375962	Contig	2021-07-07	CAJVAM01	2664089		PRJEB40665	SAMEA7520491
GCA_910593685.1	Ectemnius lituratus							8375962	Contig	2021-07-07	CAJVAM01	2664089		PRJNA533106	SAMEA7520491
GCA_910593685.1	Ectemnius lituratus							8375962	Contig	2021-07-07	CAJVAM01	2664089		PRJEB43510	SAMEA7520491
GCA_910593685.1	Ectemnius lituratus							8375962	Contig	2021-07-07	CAJVAM01	2664089		PRJNA533106	SAMEA7520491
GCF_001483705.1	Eufriesea mexicana				0111107269		NCBI Annotation Release 100	596278454	Scaffold	2016-05-09	LLKC01	38936	351926	PRJNA279814	SAMN03801430
GCA_001483705.1	Eufriesea mexicana				0111107269		Annotation submitted by BGI	596278454	Scaffold	2016-05-09	LLKC01	38936	351926	PRJNA279814	SAMN03801430
GCA_002201625.1	Euglossa dilemma				1			588199719	Scaffold	2017-06-20	NIJG01	12398	143590	PRJNA388474	SAMN07177610
GCA_019453415.1	Exoneura robusta				SR-2019			460705302	Scaffold	2021-08-05	SMSS01	15652	447322	PRJNA526237	SAMN11091119
GCA_019453975.1	Exoneurella tridentata				SR-2019			441468643	Scaffold	2021-08-05	SMST01	74835	101632	PRJNA526241	SAMN11091321
GCF_011392965.1	Frieseomelitta varia				USP_RPSP 00005682		NCBI Annotation Release 100	275421029	Scaffold	2020-03-17	WNWW01	98566	467007	PRJNA528016	SAMN11115949
GCA_011392965.1	Frieseomelitta varia				USP_RPSP 00005682		Annotation submitted by University of Sao Paulo	275421029	Scaffold	2020-03-17	WNWW01	98566	467007	PRJNA528016	SAMN11115949
GCA_019969155.1	Frieseomelitta varia				PW-2020			301350145	Scaffold	2021-09-14	JAEPER01	10524	16294	PRJNA668370	SAMN16409367
GCF_001263275.1	Habropoda laboriosa				0110345459		NCBI Annotation Release 100	296954667	Scaffold	2015-08-13	LHQN01	22370	1784116	PRJNA279436	SAMN03462987
GCA_001263275.1	Habropoda laboriosa				0110345459		Annotation submitted by BGI	296954667	Scaffold	2015-08-13	LHQN01	22370	1784116	PRJNA279436	SAMN03462987
GCA_903986555.1	Heterotrigona itama					Peninsular Malaysia	Annotation submitted by Malaysian Agriculture Research and Development Institute	262450989	Scaffold	2021-09-22	CAJDYZ01	4440	49824	PRJEB34838	SAMEA6080620
GCA_023838395.1	Holcopasites calliopsidis				TJLS-2B			179375354	Contig	2022-06-21	JALHAQ01	4790652		PRJNA820736	SAMN27022103
GCA_000346575.1	Lasioglossum albipes							336521443	Scaffold	2013-10-08	ANOB01	16944	628061	PRJNA174755	
GCA_022376115.1	Lasioglossum baleicum				BER8-B1			303257060	Scaffold	2022-02-23	JAKRZL01	95859	1904936	PRJNA804198	SAMN25708996
GCA_916610255.1	Lasioglossum lativentre							478935738	Chromosome	2021-10-01	CAKAJI01	4089460	27713800	PRJEB47729	SAMEA7746765
GCA_916610255.1	Lasioglossum lativentre							478935738	Chromosome	2021-10-01	CAKAJI01	4089460	27713800	PRJEB46299	SAMEA7746765
GCA_916610255.1	Lasioglossum lativentre							478935738	Chromosome	2021-10-01	CAKAJI01	4089460	27713800	PRJEB40665	SAMEA7746765
GCA_916610255.1	Lasioglossum lativentre							478935738	Chromosome	2021-10-01	CAKAJI01	4089460	27713800	PRJNA533106	SAMEA7746765
GCA_916610255.1	Lasioglossum lativentre							478935738	Chromosome	2021-10-01	CAKAJI01	4089460	27713800	PRJEB43510	SAMEA7746765
GCA_916610255.1	Lasioglossum lativentre							478935738	Chromosome	2021-10-01	CAKAJI01	4089460	27713800	PRJNA533106	SAMEA7746765
GCA_916610185.2	Lasioglossum lativentre							19520795	Contig	2022-02-13	CAKAJC02	72841		PRJEB47728	SAMEA7746765
GCA_916610185.2	Lasioglossum lativentre							19520795	Contig	2022-02-13	CAKAJC02	72841		PRJEB46299	SAMEA7746765
GCA_916610185.2	Lasioglossum lativentre							19520795	Contig	2022-02-13	CAKAJC02	72841		PRJEB40665	SAMEA7746765
GCA_916610185.2	Lasioglossum lativentre							19520795	Contig	2022-02-13	CAKAJC02	72841		PRJNA533106	SAMEA7746765
GCA_916610185.2	Lasioglossum lativentre							19520795	Contig	2022-02-13	CAKAJC02	72841		PRJEB43510	SAMEA7746765
GCA_916610185.2	Lasioglossum lativentre							19520795	Contig	2022-02-13	CAKAJC02	72841		PRJNA533106	SAMEA7746765
GCA_916610235.2	Lasioglossum morio							547197555	Chromosome	2022-01-24	CAKAJA02	7092636	17693651	PRJEB47731	SAMEA7746456
GCA_916610235.2	Lasioglossum morio							547197555	Chromosome	2022-01-24	CAKAJA02	7092636	17693651	PRJEB46298	SAMEA7746456
GCA_916610235.2	Lasioglossum morio							547197555	Chromosome	2022-01-24	CAKAJA02	7092636	17693651	PRJEB40665	SAMEA7746456
GCA_916610235.2	Lasioglossum morio							547197555	Chromosome	2022-01-24	CAKAJA02	7092636	17693651	PRJNA533106	SAMEA7746456
GCA_916610235.2	Lasioglossum morio							547197555	Chromosome	2022-01-24	CAKAJA02	7092636	17693651	PRJEB43510	SAMEA7746456
GCA_916610235.2	Lasioglossum morio							547197555	Chromosome	2022-01-24	CAKAJA02	7092636	17693651	PRJNA533106	SAMEA7746456
GCA_933228785.1	Lasioglossum pauxillum							431986706	Chromosome	2022-03-23	CAKOFU01	10669560	48162910	PRJEB51575	SAMEA7520494
GCA_933228785.1	Lasioglossum pauxillum							431986706	Chromosome	2022-03-23	CAKOFU01	10669560	48162910	PRJEB51035	SAMEA7520494
GCA_933228785.1	Lasioglossum pauxillum							431986706	Chromosome	2022-03-23	CAKOFU01	10669560	48162910	PRJEB40665	SAMEA7520494
GCA_933228785.1	Lasioglossum pauxillum							431986706	Chromosome	2022-03-23	CAKOFU01	10669560	48162910	PRJNA533106	SAMEA7520494
GCA_933228785.1	Lasioglossum pauxillum							431986706	Chromosome	2022-03-23	CAKOFU01	10669560	48162910	PRJEB43510	SAMEA7520494
GCA_933228785.1	Lasioglossum pauxillum							431986706	Chromosome	2022-03-23	CAKOFU01	10669560	48162910	PRJNA533106	SAMEA7520494
GCA_933228795.1	Lasioglossum pauxillum							416760902	Contig	2022-03-23	CAKOFW01	772113		PRJEB51576	SAMEA7520494
GCA_933228795.1	Lasioglossum pauxillum							416760902	Contig	2022-03-23	CAKOFW01	772113		PRJEB51035	SAMEA7520494
GCA_933228795.1	Lasioglossum pauxillum							416760902	Contig	2022-03-23	CAKOFW01	772113		PRJEB40665	SAMEA7520494
GCA_933228795.1	Lasioglossum pauxillum							416760902	Contig	2022-03-23	CAKOFW01	772113		PRJNA533106	SAMEA7520494
GCA_933228795.1	Lasioglossum pauxillum							416760902	Contig	2022-03-23	CAKOFW01	772113		PRJEB43510	SAMEA7520494
GCA_933228795.1	Lasioglossum pauxillum							416760902	Contig	2022-03-23	CAKOFW01	772113		PRJNA533106	SAMEA7520494
GCA_002806875.1	Lepidotrigona ventralis hoosana				GBST1			333080613	Scaffold	2017-12-04	NIPQ01	6124	6644	PRJNA387986	SAMN07166495
GCA_916610135.2	Macropis europaea							546788722	Chromosome	2022-01-09	CAKAJE02	8374436	22679440	PRJEB47740	SAMEA7746440
GCA_916610135.2	Macropis europaea							546788722	Chromosome	2022-01-09	CAKAJE02	8374436	22679440	PRJEB46314	SAMEA7746440
GCA_916610135.2	Macropis europaea							546788722	Chromosome	2022-01-09	CAKAJE02	8374436	22679440	PRJEB40665	SAMEA7746440
GCA_916610135.2	Macropis europaea							546788722	Chromosome	2022-01-09	CAKAJE02	8374436	22679440	PRJNA533106	SAMEA7746440
GCA_916610135.2	Macropis europaea							546788722	Chromosome	2022-01-09	CAKAJE02	8374436	22679440	PRJEB43510	SAMEA7746440
GCA_916610135.2	Macropis europaea							546788722	Chromosome	2022-01-09	CAKAJE02	8374436	22679440	PRJNA533106	SAMEA7746440
GCF_000220905.1	Megachile rotundata						NCBI Annotation Release 101	272660569	Scaffold	2011-07-19	AFJA01	64153	1699680	PRJNA66515	SAMN02953795
GCA_000220905.1	Megachile rotundata							272660569	Scaffold	2011-07-19	AFJA01	64153	1699680	PRJNA66515	SAMN02953795
GCA_022315175.2	Megachile rotundata				SS-2021			338001955	Contig	2022-02-17	JAJHPZ01	810458		PRJNA775972	SAMN22645216
GCF_011865705.1	Megalopta genalis				nest CK6		NCBI Annotation Release 100	390114368	Scaffold	2020-04-01	REGU01	30643	3666345	PRJNA494872	SAMN10185932
GCA_011865705.1	Megalopta genalis				nest CK6			390114368	Scaffold	2020-04-01	REGU01	30643	3666345	PRJNA494872	SAMN10185932
GCA_001276565.1	Melipona quadrifasciata				0111107301		Annotation submitted by BGI	256302695	Scaffold	2015-09-04	LIRP01	12520	1864352	PRJNA279820	SAMN03837634
GCA_917499265.2	Mimumesa dahlbomi							297301941	Chromosome	2022-01-09	CAKJTC02	9606734	13287732	PRJEB48054	SAMEA8603165
GCA_917499265.2	Mimumesa dahlbomi							297301941	Chromosome	2022-01-09	CAKJTC02	9606734	13287732	PRJEB46329	SAMEA8603165
GCA_917499265.2	Mimumesa dahlbomi							297301941	Chromosome	2022-01-09	CAKJTC02	9606734	13287732	PRJEB40665	SAMEA8603165
GCA_917499265.2	Mimumesa dahlbomi							297301941	Chromosome	2022-01-09	CAKJTC02	9606734	13287732	PRJNA533106	SAMEA8603165
GCA_917499265.2	Mimumesa dahlbomi							297301941	Chromosome	2022-01-09	CAKJTC02	9606734	13287732	PRJEB43510	SAMEA8603165
GCA_917499265.2	Mimumesa dahlbomi							297301941	Chromosome	2022-01-09	CAKJTC02	9606734	13287732	PRJNA533106	SAMEA8603165
GCA_907165295.1	Nomada fabriciana							233584371	Chromosome	2021-05-17	CAJRBH01	13396754	18567632	PRJEB44636	SAMEA7520701
GCA_907165295.1	Nomada fabriciana							233584371	Chromosome	2021-05-17	CAJRBH01	13396754	18567632	PRJEB44833	SAMEA7520701
GCA_907165295.1	Nomada fabriciana							233584371	Chromosome	2021-05-17	CAJRBH01	13396754	18567632	PRJEB40665	SAMEA7520701
GCA_907165295.1	Nomada fabriciana							233584371	Chromosome	2021-05-17	CAJRBH01	13396754	18567632	PRJNA533106	SAMEA7520701
GCA_907165295.1	Nomada fabriciana							233584371	Chromosome	2021-05-17	CAJRBH01	13396754	18567632	PRJEB43510	SAMEA7520701
GCA_907165295.1	Nomada fabriciana							233584371	Chromosome	2021-05-17	CAJRBH01	13396754	18567632	PRJNA533106	SAMEA7520701
GCA_907165305.1	Nomada fabriciana							223271312	Scaffold	2021-05-15	CAJRBI01	1481663	1481663	PRJEB44637	SAMEA7520701
GCA_907165305.1	Nomada fabriciana							223271312	Scaffold	2021-05-15	CAJRBI01	1481663	1481663	PRJEB44833	SAMEA7520701
GCA_907165305.1	Nomada fabriciana							223271312	Scaffold	2021-05-15	CAJRBI01	1481663	1481663	PRJEB40665	SAMEA7520701
GCA_907165305.1	Nomada fabriciana							223271312	Scaffold	2021-05-15	CAJRBI01	1481663	1481663	PRJNA533106	SAMEA7520701
GCA_907165305.1	Nomada fabriciana							223271312	Scaffold	2021-05-15	CAJRBI01	1481663	1481663	PRJEB43510	SAMEA7520701
GCA_907165305.1	Nomada fabriciana							223271312	Scaffold	2021-05-15	CAJRBI01	1481663	1481663	PRJNA533106	SAMEA7520701
GCF_003710045.2	Nomia melanderi				Touchet_males		NCBI eukaryotic genome annotation pipeline	325499386	Scaffold	2018-11-02	REGV01	28924	2408925	PRJNA494873	SAMN10185933
GCA_003710045.2	Nomia melanderi				Touchet_males			325499386	Scaffold	2018-11-02	REGV01	28924	2408925	PRJNA494873	SAMN10185933
GCA_910591585.1	Nysson spinosus							314615744	Chromosome	2021-07-07	CAJUYC01	7396645	9740424	PRJEB45459	SAMEA7520702
GCA_910591585.1	Nysson spinosus							314615744	Chromosome	2021-07-07	CAJUYC01	7396645	9740424	PRJEB45176	SAMEA7520702
GCA_910591585.1	Nysson spinosus							314615744	Chromosome	2021-07-07	CAJUYC01	7396645	9740424	PRJEB40665	SAMEA7520702
GCA_910591585.1	Nysson spinosus							314615744	Chromosome	2021-07-07	CAJUYC01	7396645	9740424	PRJNA533106	SAMEA7520702
GCA_910591585.1	Nysson spinosus							314615744	Chromosome	2021-07-07	CAJUYC01	7396645	9740424	PRJEB43510	SAMEA7520702
GCA_910591585.1	Nysson spinosus							314615744	Chromosome	2021-07-07	CAJUYC01	7396645	9740424	PRJNA533106	SAMEA7520702
GCA_910591465.1	Nysson spinosus							321260028	Contig	2021-07-07	CAJUXM01	3134880		PRJEB45458	SAMEA7520702
GCA_910591465.1	Nysson spinosus							321260028	Contig	2021-07-07	CAJUXM01	3134880		PRJEB45176	SAMEA7520702
GCA_910591465.1	Nysson spinosus							321260028	Contig	2021-07-07	CAJUXM01	3134880		PRJEB40665	SAMEA7520702
GCA_910591465.1	Nysson spinosus							321260028	Contig	2021-07-07	CAJUXM01	3134880		PRJNA533106	SAMEA7520702
GCA_910591465.1	Nysson spinosus							321260028	Contig	2021-07-07	CAJUXM01	3134880		PRJEB43510	SAMEA7520702
GCA_910591465.1	Nysson spinosus							321260028	Contig	2021-07-07	CAJUXM01	3134880		PRJNA533106	SAMEA7520702
GCF_907164935.1	Osmia bicornis bicornis						NCBI Annotation Release 101	222969496	Chromosome	2021-05-17	CAJRAL01	9077890	10976010	PRJEB44455	SAMEA5248723
GCF_907164935.1	Osmia bicornis bicornis						NCBI Annotation Release 101	222969496	Chromosome	2021-05-17	CAJRAL01	9077890	10976010	PRJEB44457	SAMEA5248723
GCF_907164935.1	Osmia bicornis bicornis						NCBI Annotation Release 101	222969496	Chromosome	2021-05-17	CAJRAL01	9077890	10976010	PRJEB33226	SAMEA5248723
GCF_907164935.1	Osmia bicornis bicornis						NCBI Annotation Release 101	222969496	Chromosome	2021-05-17	CAJRAL01	9077890	10976010	PRJNA533106	SAMEA5248723
GCF_907164935.1	Osmia bicornis bicornis						NCBI Annotation Release 101	222969496	Chromosome	2021-05-17	CAJRAL01	9077890	10976010	PRJEB43510	SAMEA5248723
GCF_907164935.1	Osmia bicornis bicornis						NCBI Annotation Release 101	222969496	Chromosome	2021-05-17	CAJRAL01	9077890	10976010	PRJNA533106	SAMEA5248723
GCF_907164935.1	Osmia bicornis bicornis						NCBI Annotation Release 101	222969496	Chromosome	2021-05-17	CAJRAL01	9077890	10976010	PRJEB40665	SAMEA5248723
GCF_907164935.1	Osmia bicornis bicornis						NCBI Annotation Release 101	222969496	Chromosome	2021-05-17	CAJRAL01	9077890	10976010	PRJNA533106	SAMEA5248723
GCF_907164935.1	Osmia bicornis bicornis						NCBI Annotation Release 101	222969496	Chromosome	2021-05-17	CAJRAL01	9077890	10976010	PRJEB43510	SAMEA5248723
GCF_907164935.1	Osmia bicornis bicornis						NCBI Annotation Release 101	222969496	Chromosome	2021-05-17	CAJRAL01	9077890	10976010	PRJNA533106	SAMEA5248723
GCF_004153925.1	Osmia bicornis bicornis				LIB18336		NCBI Annotation Release 100	210591136	Scaffold	2019-02-11	MPJT01	454559	607766	PRJNA285788	SAMN05967202
GCA_004153925.1	Osmia bicornis bicornis				LIB18336			210591136	Scaffold	2019-02-11	MPJT01	454559	607766	PRJNA285788	SAMN05967202
GCA_907164925.1	Osmia bicornis bicornis							198064647	Scaffold	2021-05-15	CAJRAK01	893605	893605	PRJEB44454	SAMEA5248723
GCA_907164925.1	Osmia bicornis bicornis							198064647	Scaffold	2021-05-15	CAJRAK01	893605	893605	PRJEB44457	SAMEA5248723
GCA_907164925.1	Osmia bicornis bicornis							198064647	Scaffold	2021-05-15	CAJRAK01	893605	893605	PRJEB33226	SAMEA5248723
GCA_907164925.1	Osmia bicornis bicornis							198064647	Scaffold	2021-05-15	CAJRAK01	893605	893605	PRJNA533106	SAMEA5248723
GCA_907164925.1	Osmia bicornis bicornis							198064647	Scaffold	2021-05-15	CAJRAK01	893605	893605	PRJEB43510	SAMEA5248723
GCA_907164925.1	Osmia bicornis bicornis							198064647	Scaffold	2021-05-15	CAJRAK01	893605	893605	PRJNA533106	SAMEA5248723
GCA_907164925.1	Osmia bicornis bicornis							198064647	Scaffold	2021-05-15	CAJRAK01	893605	893605	PRJEB40665	SAMEA5248723
GCA_907164925.1	Osmia bicornis bicornis							198064647	Scaffold	2021-05-15	CAJRAK01	893605	893605	PRJNA533106	SAMEA5248723
GCA_907164925.1	Osmia bicornis bicornis							198064647	Scaffold	2021-05-15	CAJRAK01	893605	893605	PRJEB43510	SAMEA5248723
GCA_907164925.1	Osmia bicornis bicornis							198064647	Scaffold	2021-05-15	CAJRAK01	893605	893605	PRJNA533106	SAMEA5248723
GCA_907164935.1	Osmia bicornis bicornis							222969496	Chromosome	2021-05-17	CAJRAL01	9077890	10976010	PRJEB44455	SAMEA5248723
GCA_907164935.1	Osmia bicornis bicornis							222969496	Chromosome	2021-05-17	CAJRAL01	9077890	10976010	PRJEB44457	SAMEA5248723
GCA_907164935.1	Osmia bicornis bicornis							222969496	Chromosome	2021-05-17	CAJRAL01	9077890	10976010	PRJEB33226	SAMEA5248723
GCA_907164935.1	Osmia bicornis bicornis							222969496	Chromosome	2021-05-17	CAJRAL01	9077890	10976010	PRJNA533106	SAMEA5248723
GCA_907164935.1	Osmia bicornis bicornis							222969496	Chromosome	2021-05-17	CAJRAL01	9077890	10976010	PRJEB43510	SAMEA5248723
GCA_907164935.1	Osmia bicornis bicornis							222969496	Chromosome	2021-05-17	CAJRAL01	9077890	10976010	PRJNA533106	SAMEA5248723
GCA_907164935.1	Osmia bicornis bicornis							222969496	Chromosome	2021-05-17	CAJRAL01	9077890	10976010	PRJEB40665	SAMEA5248723
GCA_907164935.1	Osmia bicornis bicornis							222969496	Chromosome	2021-05-17	CAJRAL01	9077890	10976010	PRJNA533106	SAMEA5248723
GCA_907164935.1	Osmia bicornis bicornis							222969496	Chromosome	2021-05-17	CAJRAL01	9077890	10976010	PRJEB43510	SAMEA5248723
GCA_907164935.1	Osmia bicornis bicornis							222969496	Chromosome	2021-05-17	CAJRAL01	9077890	10976010	PRJNA533106	SAMEA5248723
GCF_012274295.1	Osmia lignaria				UT-Olig-1		NCBI Annotation Release 100	177071571	Contig	2020-04-13	JAAOZW01	5475884		PRJNA553797	SAMN14365276
GCA_012274295.1	Osmia lignaria				UT-Olig-1			177071571	Contig	2020-04-13	JAAOZW01	5475884		PRJNA553797	SAMN14365276
GCA_933228935.1	Pemphredon lugubris							328143241	Chromosome	2022-03-23	CAKOGF01	21615587	64765430	PRJEB51589	SAMEA8603139
GCA_933228935.1	Pemphredon lugubris							328143241	Chromosome	2022-03-23	CAKOGF01	21615587	64765430	PRJEB50731	SAMEA8603139
GCA_933228935.1	Pemphredon lugubris							328143241	Chromosome	2022-03-23	CAKOGF01	21615587	64765430	PRJEB40665	SAMEA8603139
GCA_933228935.1	Pemphredon lugubris							328143241	Chromosome	2022-03-23	CAKOGF01	21615587	64765430	PRJNA533106	SAMEA8603139
GCA_933228935.1	Pemphredon lugubris							328143241	Chromosome	2022-03-23	CAKOGF01	21615587	64765430	PRJEB43510	SAMEA8603139
GCA_933228935.1	Pemphredon lugubris							328143241	Chromosome	2022-03-23	CAKOGF01	21615587	64765430	PRJNA533106	SAMEA8603139
GCA_913789895.3	Seladonia tumulorum							404423755	Chromosome	2022-02-09	CAJYYF03	14963228	18583095	PRJEB47128	SAMEA7746445
GCA_913789895.3	Seladonia tumulorum							404423755	Chromosome	2022-02-09	CAJYYF03	14963228	18583095	PRJEB45675	SAMEA7746445
GCA_913789895.3	Seladonia tumulorum							404423755	Chromosome	2022-02-09	CAJYYF03	14963228	18583095	PRJEB40665	SAMEA7746445
